22.4,54.8,12.6,30,209,LOW,HIGH,28
-- M fr,30,LOW,95
-- M fr,30,LOW,95
-- M fr,30,LOW,95
-- M fr,30,LOW,95
-- M fr,30,LOW,95
-- M fr,30,LOW,95
-- M fr,209,HIGH,95
-- M fr,210,HIGH,95
-- M fr,30,LOW,95
-- M fr,30,LOW,[95]
-- M fr,30,LOW,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,209,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,209,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,29,LOW,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,30,LOW,[95]
-- M fr,209,HIGH,[95]
-- M fr,209,HIGH,[95]
-- M fr,29,LOW,[95]
-- M fr,209,HIGH,[95]
-- M fr,30,LOW,[95]
-- M fr,209,HIGH,[95]
-- M fr,209,HIGH,[95]
-- M fr,209,HIGH,[95]
-- M fr,209,HIGH,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,210,HIGH,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,210,HIGH,[95]
-- M fr,29,LOW,[95]
-- M fr,209,HIGH,[95]
-- M fr,210,HIGH,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,29,LOW,[95]
-- M fr,210,HIGH,[95]
"22.4
54.8
12.6",209,HIGH,[28]
,210,HIGH,"[-117, -160, -163, -102, -123, -116, -106, -135, -109, -103, -694, -120, -109, -124, -129, 121, -135, -113, -135, -105, -508, -145, -115, -105, -124, -120, -108, -114, -500, -436]"
,211,HIGH,"[-113, -108, -105, -160, -681, -105, -108, -844, -120, -141, -123, 121, -100, -120, -114, -101, -106, -570, -127, -119, -109, -560, -153]"
,31,LOW,[]
"22.4
54.8
12.6",209,HIGH,[28]
